"Sérgio Reis e Filhos - Escolta de Vagalumes","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'27""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - O Menino da Porteira","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'32""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Arrumação","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'14""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - A Vida do Viajante","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","3'26""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Cantar Pra Ser Feliz","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","2'49""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Filho Adotivo","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'30""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Baião da Garoa / Leva Eu Mainha","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'34""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Asa Branca","Atração (http://www.atracao.com.br/)",," Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'38""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Felicidade","Atração (http://www.atracao.com.br/)",,"Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","2'38""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sérgio Reis e Filhos - Disparada","Atração (http://www.atracao.com.br/)",,"Nesta apresentação ao vivo, o grande nome da música
brasileira, Sérgio Reis, relembra seus grandes sucessos tocando na companhia
dos seus filhos.","4'45""","Wilson Souto JR",2003,,,,"Atração (http://www.atracao.com.br/)",,"http://sergioreis.uol.com.br/","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Compay Segundo","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","4'14""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Dona Lalinha","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'12""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Álcool ou Acetona","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","6'38""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Dengo","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'07""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Fé e Umbigada","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","3'42""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - Vc Toda","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","4'28""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naurea - R&B","Atração (http://www.atracao.com.br/)",,"Definitivamente a Naurêa se firma como uma das bandas que compõem a
nova música brasileira. Com seu sambaião, a banda propõe uma música
despojada que reverencia a tradição do forró e aponta para as várias
possibilidades da música das periferias do mundo. O sambaião é o groove da
naurêa.","5'15""","Alex Sant'anna",2009,,,,"Atração (http://www.atracao.com.br/)",,"http://www.naurea.com.br","Musical","Curta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
